city,city_code,province,tier_group,tier_label,year,ntl_value,ntl_index,gdp_value,gdp_index,population_value,population_index
漯河市,"411000000000",河南省,T3,Third-tier Cities,"2020",9485,404.13,15542600,194.98,0,0
漯河市,"411000000000",河南省,T3,Third-tier Cities,"2021",10116,431.02,16968100,212.87,266,96.73
漯河市,"411000000000",河南省,T3,Third-tier Cities,"2022",9627,410.18,17136100,214.98,266,96.73
漳州市,"351000000000",福建省,T3,Third-tier Cities,"2012",3671,100,20479500,100,482.5,100
漳州市,"351000000000",福建省,T3,Third-tier Cities,"2013",6095,166.03,22990800,112.26,489.5,101.45
漳州市,"351000000000",福建省,T3,Third-tier Cities,"2014",6811,185.54,25800800,125.98,497.4,103.09
漳州市,"351000000000",福建省,T3,Third-tier Cities,"2015",7799,212.45,29512500,144.11,502.08,104.06
漳州市,"351000000000",福建省,T3,Third-tier Cities,"2016",6985,190.28,32312400,157.78,508,105.28
漳州市,"351000000000",福建省,T3,Third-tier Cities,"2017",8686,236.61,37118800,181.25,514,106.53
漳州市,"351000000000",福建省,T3,Third-tier Cities,"2018",9923,270.31,43681500,213.29,521,107.98
漳州市,"351000000000",福建省,T3,Third-tier Cities,"2019",10905,297.06,46868300,228.85,522,108.19
漳州市,"351000000000",福建省,T3,Third-tier Cities,"2020",12108,329.83,45914600,224.2,0,0
漳州市,"351000000000",福建省,T3,Third-tier Cities,"2021",15351,418.17,52670100,257.18,526,109.02
漳州市,"351000000000",福建省,T3,Third-tier Cities,"2022",15179,413.48,54927400,268.21,527,109.22
潍坊市,"371000000000",山东省,T3,Third-tier Cities,"2012",7904,100,36636500,100,878.9,100
潍坊市,"371000000000",山东省,T3,Third-tier Cities,"2013",9830,124.37,40832600,111.45,882.9,100.46
潍坊市,"371000000000",山东省,T3,Third-tier Cities,"2014",9645,122.03,44292600,120.9,888.3,101.07
潍坊市,"371000000000",山东省,T3,Third-tier Cities,"2015",9599,121.44,46671500,127.39,893.71,101.69
潍坊市,"371000000000",山东省,T3,Third-tier Cities,"2016",11363,143.76,50821500,138.72,901,102.51
潍坊市,"371000000000",山东省,T3,Third-tier Cities,"2017",12668,160.27,53003500,144.67,908,103.31
潍坊市,"371000000000",山东省,T3,Third-tier Cities,"2018",15018,190.01,54956300,150,914,103.99
潍坊市,"371000000000",山东省,T3,Third-tier Cities,"2019",16179,204.69,56885000,155.27,918,104.45
潍坊市,"371000000000",山东省,T3,Third-tier Cities,"2020",19856,251.21,58915500,160.81,0,0
潍坊市,"371000000000",山东省,T3,Third-tier Cities,"2021",21340,269.99,70106000,191.36,920,104.68
潍坊市,"371000000000",山东省,T3,Third-tier Cities,"2022",21650,273.91,72999600,199.25,918,104.45
潮州市,"445000000000",广东省,T3,Third-tier Cities,"2012",2780,100,6994400,100,264.8,100
潮州市,"445000000000",广东省,T3,Third-tier Cities,"2013",5457,196.29,7722800,110.41,267.2,100.91
潮州市,"445000000000",广东省,T3,Third-tier Cities,"2014",5510,198.2,8331900,119.12,268.8,101.51
潮州市,"445000000000",广东省,T3,Third-tier Cities,"2015",5767,207.45,8911100,127.4,272.8,103.02
潮州市,"445000000000",广东省,T3,Third-tier Cities,"2016",5787,208.17,9481600,135.56,274,103.47
潮州市,"445000000000",广东省,T3,Third-tier Cities,"2017",7071,254.35,9606800,137.35,276,104.23
潮州市,"445000000000",广东省,T3,Third-tier Cities,"2018",8056,289.78,10053000,143.73,276,104.23
潮州市,"445000000000",广东省,T3,Third-tier Cities,"2019",8550,307.55,10829400,154.83,276,104.23
潮州市,"445000000000",广东省,T3,Third-tier Cities,"2020",9595,345.14,11028800,157.68,0,0
潮州市,"445000000000",广东省,T3,Third-tier Cities,"2021",11679,420.11,12445200,177.93,275,103.85
潮州市,"445000000000",广东省,T3,Third-tier Cities,"2022",11322,407.27,13177300,188.4,275,103.85
濮阳市,"411000000000",河南省,T3,Third-tier Cities,"2012",3280,100,8267000,100,421.3,100
濮阳市,"411000000000",河南省,T3,Third-tier Cities,"2013",5215,158.99,9245800,111.84,417.3,99.05
濮阳市,"411000000000",河南省,T3,Third-tier Cities,"2014",5616,171.22,10253700,124.03,424.5,100.76
濮阳市,"411000000000",河南省,T3,Third-tier Cities,"2015",5713,174.18,11148800,134.86,429.01,101.83
濮阳市,"411000000000",河南省,T3,Third-tier Cities,"2016",5639,171.92,12116000,146.56,433,102.78
濮阳市,"411000000000",河南省,T3,Third-tier Cities,"2017",7006,213.6,13297400,160.85,432,102.54
濮阳市,"411000000000",河南省,T3,Third-tier Cities,"2018",8233,251.01,14426500,174.51,435,103.25
濮阳市,"411000000000",河南省,T3,Third-tier Cities,"2019",9156,279.15,15786600,190.96,434,103.01
濮阳市,"411000000000",河南省,T3,Third-tier Cities,"2020",10877,331.62,16205100,196.02,0,0
濮阳市,"411000000000",河南省,T3,Third-tier Cities,"2021",11917,363.32,17632500,213.29,435,103.25
濮阳市,"411000000000",河南省,T3,Third-tier Cities,"2022",12001,365.88,18505100,223.84,434,103.01
烟台市,"371000000000",山东省,T3,Third-tier Cities,"2012",7282,100,50093400,100,650.3,100
烟台市,"371000000000",山东省,T3,Third-tier Cities,"2013",8584,117.88,53384500,106.57,651.2,100.14
烟台市,"371000000000",山东省,T3,Third-tier Cities,"2014",8324,114.31,57054000,113.9,653.4,100.48
烟台市,"371000000000",山东省,T3,Third-tier Cities,"2015",7595,104.3,60864900,121.5,653.28,100.46
烟台市,"371000000000",山东省,T3,Third-tier Cities,"2016",7489,102.84,64558400,128.88,655,100.72
烟台市,"371000000000",山东省,T3,Third-tier Cities,"2017",7495,102.93,67620000,134.99,654,100.57
烟台市,"371000000000",山东省,T3,Third-tier Cities,"2018",8016,110.08,71844300,143.42,654,100.57
烟台市,"371000000000",山东省,T3,Third-tier Cities,"2019",7836,107.61,76534500,152.78,653,100.42
烟台市,"371000000000",山东省,T3,Third-tier Cities,"2020",8714,119.66,77184600,154.08,0,0
烟台市,"371000000000",山东省,T3,Third-tier Cities,"2021",9516,130.68,87117500,173.91,649,99.8
烟台市,"371000000000",山东省,T3,Third-tier Cities,"2022",10168,139.63,95090500,189.83,645,99.18
焦作市,"411000000000",河南省,T3,Third-tier Cities,"2012",3037,100,15410568,100,367.3,100
焦作市,"411000000000",河南省,T3,Third-tier Cities,"2013",3909,128.71,17031613,110.52,367.8,100.14
焦作市,"411000000000",河南省,T3,Third-tier Cities,"2014",4029,132.66,18511677,120.12,369.6,100.63
焦作市,"411000000000",河南省,T3,Third-tier Cities,"2015",4223,139.05,19604234,127.21,371.68,101.19
焦作市,"411000000000",河南省,T3,Third-tier Cities,"2016",4167,137.21,21264616,137.99,374,101.82
焦作市,"411000000000",河南省,T3,Third-tier Cities,"2017",4564,150.28,23226676,150.72,371,101.01
焦作市,"411000000000",河南省,T3,Third-tier Cities,"2018",5026,165.49,25017568,162.34,373,101.55
焦作市,"411000000000",河南省,T3,Third-tier Cities,"2019",6002,197.63,26157400,169.74,373,101.55
焦作市,"411000000000",河南省,T3,Third-tier Cities,"2020",6595,217.16,20252601,131.42,0,0
焦作市,"411000000000",河南省,T3,Third-tier Cities,"2021",7155,235.59,21077935,136.78,372,101.28
焦作市,"411000000000",河南省,T3,Third-tier Cities,"2022",7050,232.14,22347754,145.02,371,101.01
牡丹江市,"231000000000",黑龙江省,T3,Third-tier Cities,"2012",5937,100,5852200,100,259.6,100
牡丹江市,"231000000000",黑龙江省,T3,Third-tier Cities,"2013",5179,87.23,6482500,110.77,259,99.77
牡丹江市,"231000000000",黑龙江省,T3,Third-tier Cities,"2014",4660,78.49,6934400,118.49,264,101.69
牡丹江市,"231000000000",黑龙江省,T3,Third-tier Cities,"2015",4928,83,7185100,122.78,262,100.92
牡丹江市,"231000000000",黑龙江省,T3,Third-tier Cities,"2016",5760,97.02,7461200,127.49,259,99.77
牡丹江市,"231000000000",黑龙江省,T3,Third-tier Cities,"2017",6373,107.34,7899600,134.99,255,98.23
牡丹江市,"231000000000",黑龙江省,T3,Third-tier Cities,"2018",7235,121.86,7839300,133.95,252,97.07
牡丹江市,"231000000000",黑龙江省,T3,Third-tier Cities,"2019",7349,123.78,8264200,141.22,250,96.3
牡丹江市,"231000000000",黑龙江省,T3,Third-tier Cities,"2020",7145,120.35,8268100,141.28,0,0
牡丹江市,"231000000000",黑龙江省,T3,Third-tier Cities,"2021",6870,115.72,8686100,148.42,244,93.99
牡丹江市,"231000000000",黑龙江省,T3,Third-tier Cities,"2022",7445,125.4,9203200,157.26,241,92.84
